run_id,prompt_id,clip_score
01_cpu_baseline,p01,0.3545
01_cpu_baseline,p04,0.3611
02_gpu_baseline_fp32,p01,0.3472
02_gpu_baseline_fp32,p02,0.3323
02_gpu_baseline_fp32,p03,0.3557
02_gpu_baseline_fp32,p04,0.3501
02_gpu_baseline_fp32,p05,0.2991
03_gpu_fp16,p01,0.3406
03_gpu_fp16,p02,0.334
03_gpu_fp16,p03,0.3552
03_gpu_fp16,p04,0.3425
03_gpu_fp16,p05,0.2974
04_gpu_bf16,p01,0.3438
04_gpu_bf16,p02,0.3325
04_gpu_bf16,p03,0.3584
04_gpu_bf16,p04,0.3328
04_gpu_bf16,p05,0.3044
05_gpu_fp16_sdpa,p01,0.3381
05_gpu_fp16_sdpa,p02,0.3325
05_gpu_fp16_sdpa,p03,0.3557
05_gpu_fp16_sdpa,p04,0.3525
05_gpu_fp16_sdpa,p05,0.2996
06_gpu_fp16_xformers,p01,0.3381
06_gpu_fp16_xformers,p02,0.3325
06_gpu_fp16_xformers,p03,0.3557
06_gpu_fp16_xformers,p04,0.3525
06_gpu_fp16_xformers,p05,0.2996
07_multigpu_throughput,p01,0.3381
07_multigpu_throughput,p02,0.3325
07_multigpu_throughput,p03,0.3557
07_multigpu_throughput,p04,0.3525
07_multigpu_throughput,p05,0.2996
